epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,4654.77,1.0193,1.00229,0.95303,0.81198,0.6944,0.81907,0.44204,1.73607,1.45098,1.39711,5.8604e-05,5.8604e-05,5.8604e-05
178,4675.94,0.99541,1.03557,0.98251,0.82697,0.68694,0.82057,0.44296,1.73797,1.45051,1.3964,5.63517e-05,5.63517e-05,5.63517e-05
179,4696.1,1.01301,1.01688,0.95587,0.82697,0.68694,0.82057,0.44296,1.73797,1.45051,1.3964,5.40995e-05,5.40995e-05,5.40995e-05
180,4716.59,1.04407,1.10117,1.03384,0.83617,0.68366,0.8199,0.4447,1.73978,1.44698,1.39821,5.18472e-05,5.18472e-05,5.18472e-05
181,4744.34,0.97684,0.99399,0.9717,0.83617,0.68366,0.8199,0.4447,1.73978,1.44698,1.39821,4.9595e-05,4.9595e-05,4.9595e-05
182,4770.5,0.97706,0.99968,0.9712,0.82032,0.69258,0.82011,0.44616,1.74253,1.43801,1.39812,4.73427e-05,4.73427e-05,4.73427e-05
183,4794.64,0.99125,1.01272,1.00756,0.82032,0.69258,0.82011,0.44616,1.74253,1.43801,1.39812,4.50905e-05,4.50905e-05,4.50905e-05
184,4820.24,1.0267,1.01386,0.97782,0.80988,0.70274,0.82251,0.44494,1.73888,1.4196,1.39445,4.28382e-05,4.28382e-05,4.28382e-05
185,4841.23,0.92773,0.92286,0.9426,0.80988,0.70274,0.82251,0.44494,1.73888,1.4196,1.39445,4.0586e-05,4.0586e-05,4.0586e-05
186,4887.6,0.95336,0.96733,0.95859,0.80537,0.70407,0.82273,0.44623,1.73238,1.40444,1.39072,3.83337e-05,3.83337e-05,3.83337e-05
187,4912.2,0.94441,0.95844,0.97925,0.80537,0.70407,0.82273,0.44623,1.73238,1.40444,1.39072,3.60815e-05,3.60815e-05,3.60815e-05
188,4935.9,1.0283,1.06938,1.00746,0.80349,0.70409,0.82241,0.45033,1.7243,1.38588,1.38999,3.38292e-05,3.38292e-05,3.38292e-05
189,4960.26,0.95047,0.99533,0.9528,0.80349,0.70409,0.82241,0.45033,1.7243,1.38588,1.38999,3.1577e-05,3.1577e-05,3.1577e-05
190,4981.58,0.96299,0.96974,0.99293,0.79716,0.7103,0.82316,0.45645,1.72149,1.37388,1.38803,2.93248e-05,2.93248e-05,2.93248e-05
191,5001.92,1.0231,1.14477,0.99932,0.79716,0.7103,0.82316,0.45645,1.72149,1.37388,1.38803,2.70725e-05,2.70725e-05,2.70725e-05
192,5021.79,1.01861,1.1156,1.01082,0.78451,0.71945,0.81939,0.45661,1.71509,1.36107,1.39115,2.48203e-05,2.48203e-05,2.48203e-05
193,5042.01,0.93723,1.04824,0.97129,0.78451,0.71945,0.81939,0.45661,1.71509,1.36107,1.39115,2.2568e-05,2.2568e-05,2.2568e-05
194,5064.22,1.01816,1.16063,0.98784,0.78369,0.7201,0.82376,0.45169,1.71536,1.34776,1.39638,2.03158e-05,2.03158e-05,2.03158e-05
195,5084.69,1.00295,1.13201,1.01134,0.78369,0.7201,0.82376,0.45169,1.71536,1.34776,1.39638,1.80635e-05,1.80635e-05,1.80635e-05
196,5104.43,0.9707,1.06653,0.97573,0.7862,0.71829,0.81809,0.45658,1.71674,1.34482,1.39876,1.58113e-05,1.58113e-05,1.58113e-05
197,5123.53,1.02309,1.13803,0.99679,0.7862,0.71829,0.81809,0.45658,1.71674,1.34482,1.39876,1.3559e-05,1.3559e-05,1.3559e-05
198,5142.82,1.09562,1.19252,1.02575,0.77298,0.72568,0.81672,0.46016,1.72306,1.3327,1.40416,1.13068e-05,1.13068e-05,1.13068e-05
199,5162.6,0.96735,1.0532,0.99019,0.77298,0.72568,0.81672,0.46016,1.72306,1.3327,1.40416,9.0545e-06,9.0545e-06,9.0545e-06
200,5182.26,0.92373,0.98044,0.98246,0.76483,0.72974,0.81483,0.45906,1.72583,1.32128,1.40787,6.80225e-06,6.80225e-06,6.80225e-06
