epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1256.52,1.58969,2.66228,1.19703,0.80222,0.17467,0.24926,0.1203,1.84857,3.44774,1.3139,0.000311593,0.000311593,0.000311593
45,1283.79,1.61444,2.61978,1.16607,0.80222,0.17467,0.24926,0.1203,1.84857,3.44774,1.3139,0.000316752,0.000316752,0.000316752
46,1311.02,1.54493,2.56511,1.1495,0.79819,0.17693,0.26728,0.131,1.85712,3.31888,1.30143,0.00032182,0.00032182,0.00032182
47,1340.35,1.589,2.54286,1.15564,0.79819,0.17693,0.26728,0.131,1.85712,3.31888,1.30143,0.000326799,0.000326799,0.000326799
48,1371.02,1.53393,2.54374,1.14548,0.7207,0.18256,0.30922,0.1599,1.86715,3.20219,1.2981,0.000331687,0.000331687,0.000331687
49,1399.1,1.53843,2.40102,1.1607,0.7207,0.18256,0.30922,0.1599,1.86715,3.20219,1.2981,0.000336485,0.000336485,0.000336485
50,1428.67,1.59671,2.55374,1.19987,0.61961,0.18969,0.31108,0.16365,1.81949,3.08185,1.26872,0.000341193,0.000341193,0.000341193
51,1455.26,1.49454,2.42252,1.14609,0.61961,0.18969,0.31108,0.16365,1.81949,3.08185,1.26872,0.000342387,0.000342387,0.000342387
52,1484.4,1.51352,2.40542,1.13705,0.50062,0.19739,0.33579,0.17567,1.80134,3.04763,1.25576,0.000340135,0.000340135,0.000340135
53,1513.29,1.46363,2.39261,1.13836,0.50062,0.19739,0.33579,0.17567,1.80134,3.04763,1.25576,0.000337883,0.000337883,0.000337883
54,1542.75,1.46343,2.3495,1.12142,0.5193,0.2428,0.32685,0.16322,1.80923,3.02469,1.25672,0.000335631,0.000335631,0.000335631
55,1570.35,1.4412,2.20775,1.10075,0.5193,0.2428,0.32685,0.16322,1.80923,3.02469,1.25672,0.000333379,0.000333379,0.000333379
56,1600.31,1.46549,2.27761,1.10038,0.57758,0.24991,0.35404,0.17784,1.79709,3.01028,1.25279,0.000331126,0.000331126,0.000331126
57,1628.84,1.4415,2.22913,1.12095,0.57758,0.24991,0.35404,0.17784,1.79709,3.01028,1.25279,0.000328874,0.000328874,0.000328874
58,1656.57,1.45136,2.18571,1.13026,0.58236,0.24765,0.39548,0.19843,1.80699,2.97334,1.27337,0.000326622,0.000326622,0.000326622
59,1684.08,1.44244,2.15797,1.11017,0.58236,0.24765,0.39548,0.19843,1.80699,2.97334,1.27337,0.000324369,0.000324369,0.000324369
60,1711.17,1.47731,2.16638,1.13728,0.63202,0.28542,0.42767,0.22641,1.82975,2.93082,1.27995,0.000322117,0.000322117,0.000322117
61,1738.94,1.4197,2.20321,1.10087,0.63202,0.28542,0.42767,0.22641,1.82975,2.93082,1.27995,0.000319865,0.000319865,0.000319865
62,1766.81,1.43575,2.18105,1.15142,0.60168,0.31639,0.44083,0.23665,1.8132,2.8588,1.27917,0.000317613,0.000317613,0.000317613
63,1793.81,1.4032,2.09281,1.07377,0.60168,0.31639,0.44083,0.23665,1.8132,2.8588,1.27917,0.00031536,0.00031536,0.00031536
64,1821.81,1.41267,1.95415,1.10655,0.56012,0.40388,0.46234,0.24501,1.77145,2.77813,1.25849,0.000313108,0.000313108,0.000313108
